代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,23.85,23.9,23.85,-0.1,-0.42,29598,38.69,-9753,-31,91,-9693,20481,22553,-2072,-0.07,-19668,144,0,0,19812,0,0.66,2415,2075,340,6925,5191,1734,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.35,1.74,32755,752.32
1102,亞泥,33,33.05,33,-0.25,-0.75,17304,57.18,-6163,-120,-46,-6329,11914,15091,-3177,-0.18,-11955,83,3053,3180,11911,0.18,0.87,1120,781,339,4380,1543,2837,11.07,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.97,0.23,2050,354.66
1103,嘉泥,13.15,13.2,13.2,-0.05,-0.38,405,35.89,-5,0,-1,-6,180,81,99,0.24,-81,0,0,0,81,0,0.2,91,120,-29,142,212,-70,20,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.17,2.07,4085,83.29
1104,環泥,27.2,27.25,27.2,-0.15,-0.55,779,33.25,-414,0,3,-411,46,126,-80,-0.1,-126,0,0,0,126,0,0.16,118,215,-97,636,459,177,10.63,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.8,0.7,1202,68.67
1108,幸福,13.5,13.55,13.5,0,0,284,18.03,19,0,0,19,0,100,-100,-0.35,0,0,0,0,0,0,0,60,46,14,228,142,86,6.68,322.87,-6.92,-21.38,4130.96,0.17,16.14,1.23,7.41,0.77,784,40.47
1109,信大,14.35,14.45,14.45,-0.05,-0.34,120,49.58,-15,0,2,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,0,18.29,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.23,0.36,309,34.12
1110,東泥,14,14.1,14.1,0.1,0.71,244,91.18,25,0,0,25,137,137,0,0,137,137,0,0,0,0.56,0,0,0,0,108,108,0,44.06,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,2.13,1.95,2786,57.2
1201,味全,12.05,12.1,12.1,-0.2,-1.63,567,53.46,-119,0,1,-118,0,0,0,0,0,0,0,0,0,0,0,0,149,-149,581,432,149,31.03,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.74,1.06,1343,50.61
1203,味王,42.7,42.8,42.7,0,0,16,43.75,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,25.12,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.34,0.01,6,24
1210,大成,51.7,51.9,51.7,-0.4,-0.77,2706,24.03,-1233,-9,5,-1237,775,2092,-1317,-0.47,-2045,0,47,37,2055,0.02,0.75,581,168,413,1418,514,904,13.09,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.8,0.87,1946,89.48
1213,大飲,8.07,8.29,8.29,0.06,0.73,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,--,25.4,8.92,0.97,308.55,-0.37,-2,-3.29,0,--,0,5.66
1215,卜蜂,129.5,130,129.5,-6,-4.43,6700,32.94,505,-8,-1660,-1163,3423,6085,-2662,-0.39,-6085,0,0,0,6085,0,0.89,957,228,729,2492,559,1933,13.95,2316.77,-7.75,-2.92,28841.27,1.26,17.75,3.12,5.41,0.39,287,29.48
1216,統一,70.2,70.3,70.2,-0.6,-0.85,21246,44.2,-11296,4771,221,-6304,16321,19969,-3648,-0.17,-7990,4264,0,0,12254,0.2,0.57,1349,406,943,3754,1049,2705,18.97,57480.11,0.18,2.26,679885.44,1.15,33.78,4.5,4.27,0.1,1439,568.2
1217,愛之味,9.69,9.7,9.7,0.14,1.46,1096,35.33,-381,0,3,-378,0,0,0,0,0,0,0,0,0,0,0,0,111,-111,1111,1000,111,20.21,396.67,3.15,5.27,5036.36,-0.13,26.35,-0.76,2.58,1.01,1252,49.45
1218,泰山,18.45,18.5,18.45,-0.05,-0.27,433,54.65,-68,0,3,-65,0,0,0,0,0,0,0,0,0,0,0,0,65,-65,444,379,65,12.3,844.39,-3.2,6.37,10321.74,0.32,17.14,1.24,7.15,1.13,1416,50
