濾波器、振盪器材料,電感器材料,電容器材料,電阻器材料,濾波器、振盪器,電感器,電容器,電阻器,印刷電路板生產製程及檢測設備,聚亞醯胺樹脂,銅箔,酚醛樹脂,環氧樹脂,玻璃纖維/玻纖布,銅箔基板,基板組裝加工及相關製造,硬板、軟板、IC載板製造,控制IC,軟性電路板,觸控面板印刷材料,觸控面板膠材,ITO導電薄膜,ITO導電玻璃,ITO靶材,PET膜,玻璃基板,觸控面板,工業用設備,資訊收集設備,IP設計/IC設計代工服務,影像感測IC,光儲存控制IC,平面顯示器驅動IC,平面顯示器控制IC,輸出入介面IC,網路通訊IC,磁碟儲存控制器IC,電源管理IC,微控制器IC,記憶體控制IC,記憶體IC,光通訊IC,IC設計,半導體化學品,半導體生產製程及檢測設備中游,其他IC/二極體製造,DRAM製造,晶圓製造,IC/晶圓製造,光罩,IC封裝測試,半導體生產製程及檢測設備下游,自動化機台,光學鏡片、鏡頭,散熱片、風扇馬達、散熱模組,通信網路線材,光通訊設備,傳動元件
1785,2459,2492,3663,2327,2308,2308,2308,1528,1717,1303,1303,1303,1303,1303,2313,2313,2458,3390,3444,1717,3663,3615,1785,3303,3149,2429,3088,3088,2401,2401,2401,3034,2454,2401,2379,2401,2308,2308,3259,2337,5468,2308,1711,2360,2302,2344,2303,2302,2338,1410,3093,3219,2317,2308,1615,1608,1504
4739,3357,4760,4760,2459,2327,2327,2327,1595,3645,3388,1717,1717,1802,1717,2316,2316,2459,,,3388,4720,,,,6246,2459,3498,,3035,3034,2454,3141,3034,3014,2454,,2436,2436,6485,2344,6268,2337,1717,2467,2340,2408,2330,2303,2438,1434,5493,3623,2374,2354,1617,1618,1526
,4760,6173,5434,2484,2492,2375,2371,1785,4764,4989,,4764,1815,2328,2328,2328,3227,,,3430,8240,,,,6405,3038,3551,,3339,3227,,3527,3527,4951,3094,,2454,2458,8299,2408,,2344,1727,3030,2342,3707,2337,2330,,2329,7556,6218,2459,2376,1618,2308,1536
,6155,6175,6127,2492,3117,2413,2428,2467,,8358,,8240,3388,2383,3520,2355,3556,,,4964,,,,,,3049,4542,,3443,8016,,3545,4952,5269,3169,,3034,3014,,3006,,2379,1742,3114,2434,6770,2340,2337,,2337,6823,6234,2483,2421,2392,2321,1590
,8121,,6204,3026,3207,2472,2478,2493,,,,,5340,3010,3665,2367,,,,5234,,,,,,3416,5386,,3529,,,3592,6129,6104,4968,,3122,3034,,5351,,2401,1785,3178,2481,,2344,2340,,2340,6515,6425,3008,2459,2459,2352,1597
,,,,3042,3236,2492,2492,3010,,,,,5475,3354,5355,2368,,,,6899,,,,,,3481,5490,,3661,,,4961,,6233,5274,,3257,3122,,6531,,2408,2493,3339,3234,,2371,2342,,2369,7734,6664,3019,3017,3011,2413,2049
,,,,3221,3357,3026,3624,3030,,,,,8240,3585,5381,2402,,,,8070,,,,,,3556,5493,,5222,,,4966,,6243,6138,,3288,3228,,,,2436,3010,3402,3675,,2408,2344,,2441,1595,6739,3059,3071,3023,2483,2233
,,,,3663,3624,3090,3663,3093,,,,,,4939,5498,3037,,,,,,,,,,3622,6664,,6423,,,6129,,6411,6526,,3317,4952,,,,2454,3305,3413,3707,,2434,2371,,2449,7768,7709,3362,3324,3388,2485,2248
,,,,6155,5228,3537,6173,3455,,,,,,5381,6191,3044,,,,,,,,,,3623,7846,,6533,,,6996,,6568,6568,,3438,5236,,,,2458,3663,3455,4971,,2455,2408,,3264,2308,8027,3406,3338,3665,3027,2308
,,,,6174,5434,5328,6204,3485,,,,,,5498,6224,3114,,,,,,,,,,3673,,,6643,,,8016,,6679,6708,,3527,5471,,,,3006,4720,3467,4991,,3016,2434,,3265,2467,,3441,3483,5457,3163,4528
