盤後定價行情
資料日期:115/06/16
代號,名稱,委買筆數,委買張數,委賣筆數,委賣張數,成交價(元),成交筆數,成交張數,成交金額,委買未成交張數,委賣未成交張數
"00679B","元大美債20年         ","2","14","10","44","26.67","6","14","373,380","0","30"
"00687B","國泰20年美債         ","8","22","2","21","27.74","7","21","582,540","1","0"
"00687C","國泰20年美債+櫃U      ","0","0","0","0","0.00","0","0","0","0","0"
"00694B","富邦美債1-3         ","0","0","1","1","0.00","0","0","0","0","1"
"00695B","富邦美債7-10        ","0","0","1","1","0.00","0","0","0","0","1"
"00696B","富邦美債20年         ","0","0","0","0","0.00","0","0","0","0","0"
"00697B","元大美債7-10        ","0","0","0","0","0.00","0","0","0","0","0"
"00719B","元大美債1-3         ","0","0","2","211","0.00","0","0","0","0","211"
"00720B","元大投資級公司債        ","2","2","1","8","33.34","2","2","66,680","0","6"
"00722B","群益投資級電信債        ","0","0","1","1","0.00","0","0","0","0","1"
"00723B","群益投資級科技債        ","0","0","0","0","0.00","0","0","0","0","0"
"00724B","群益投資級金融債        ","1","1","0","0","0.00","0","0","0","1","0"
"00725B","國泰投資級公司債        ","2","5","4","104","35.40","2","5","177,000","0","99"
"00726B","國泰新興投等債         ","0","0","0","0","0.00","0","0","0","0","0"
"00727B","國泰優選非投等債        ","0","0","0","0","0.00","0","0","0","0","0"
"00734B","台新JPM新興債        ","0","0","0","0","0.00","0","0","0","0","0"
"00740B","富邦全球投等債         ","3","3","0","0","0.00","0","0","0","3","0"
"00741B","富邦全球非投等債        ","0","0","0","0","0.00","0","0","0","0","0"
"00746B","富邦A級公司債         ","0","0","0","0","0.00","0","0","0","0","0"
"00749B","凱基新興債10+        ","0","0","0","0","0.00","0","0","0","0","0"
"00750B","凱基科技債10+        ","0","0","0","0","0.00","0","0","0","0","0"
"00751B","元大AAA至A公司債      ","1","1","5","14","32.01","1","1","32,010","0","13"
"00754B","群益AAA-AA公司債     ","0","0","0","0","0.00","0","0","0","0","0"
"00755B","群益投資級公用債        ","0","0","0","0","0.00","0","0","0","0","0"
"00756B","群益投等新興公債        ","0","0","0","0","0.00","0","0","0","0","0"
"00758B","復華能源債           ","0","0","0","0","0.00","0","0","0","0","0"
"00759B","復華製藥債           ","0","0","0","0","0.00","0","0","0","0","0"
"00760B","復華新興企業債         ","0","0","0","0","0.00","0","0","0","0","0"
"00761B","國泰A級公司債         ","0","0","0","0","0.00","0","0","0","0","0"
"00764B","群益25年美債         ","0","0","0","0","0.00","0","0","0","0","0"
"00768B","復華20年美債         ","0","0","0","0","0.00","0","0","0","0","0"
"00772B","中信高評級公司債        ","1","1","1","8","33.67","1","1","33,670","0","7"
"00773B","中信優先金融債         ","0","0","0","0","0.00","0","0","0","0","0"
"00777B","凱基AAA至A公司債      ","0","0","0","0","0.00","0","0","0","0","0"
"00778B","凱基金融債20+        ","0","0","0","0","0.00","0","0","0","0","0"
"00779B","凱基美債25+         ","0","0","0","0","0.00","0","0","0","0","0"
"00780B","國泰A級金融債         ","0","0","0","0","0.00","0","0","0","0","0"
"00781B","國泰A級科技債         ","0","0","0","0","0.00","0","0","0","0","0"
"00782B","國泰A級公用債         ","0","0","0","0","0.00","0","0","0","0","0"
"00785B","富邦金融投等債         ","0","0","0","0","0.00","0","0","0","0","0"
"00786B","元大10年IG銀行債      ","0","0","0","0","0.00","0","0","0","0","0"
"00787B","元大10年IG醫療債      ","0","0","0","0","0.00","0","0","0","0","0"
"00788B","元大10年IG電能債      ","0","0","0","0","0.00","0","0","0","0","0"
"00789B","復華公司債A3         ","0","0","0","0","0.00","0","0","0","0","0"
"00791B","復華信用債1-5        ","0","0","0","0","0.00","0","0","0","0","0"
"00792B","群益A級公司債         ","0","0","0","0","0.00","0","0","0","0","0"
"00793B","群益AAA-A醫療債      ","0","0","0","0","0.00","0","0","0","0","0"
"00795B","中信美國公債20年       ","3","3","0","0","0.00","0","0","0","3","0"
"00799B","國泰A級醫療債         ","0","0","0","0","0.00","0","0","0","0","0"
"00834B","第一金金融債10+       ","0","0","0","0","0.00","0","0","0","0","0"
"00836B","永豐10年A公司債       ","0","0","0","0","0.00","0","0","0","0","0"
"00840B","凱基IG精選15+       ","0","0","0","0","0.00","0","0","0","0","0"
"00841B","凱基AAA-AA公司債     ","0","0","0","0","0.00","0","0","0","0","0"
"00842B","台新美元銀行債         ","0","0","0","0","0.00","0","0","0","0","0"
"00844B","新光15年IG金融債      ","0","0","0","0","0.00","0","0","0","0","0"
"00845B","富邦新興投等債         ","0","0","0","0","0.00","0","0","0","0","0"
"00846B","富邦歐洲銀行債         ","0","0","0","0","0.00","0","0","0","0","0"
"00847B","中信美國市政債         ","0","0","0","0","0.00","0","0","0","0","0"
"00848B","中信新興亞洲債         ","0","0","0","0","0.00","0","0","0","0","0"
"00849B","中信EM主權債0-5      ","0","0","0","0","0.00","0","0","0","0","0"
"00853B","統一美債10年Aa-A     ","1","1","0","0","0.00","0","0","0","1","0"
"00856B","永豐1-3年美公債       ","0","0","0","0","0.00","0","0","0","0","0"
"00857B","永豐20年美公債        ","1","1","0","0","0.00","0","0","0","1","0"
"00858","永豐美國500大        ","0","0","0","0","0.00","0","0","0","0","0"
"00859B","群益0-1年美債        ","1","21","0","0","0.00","0","0","0","21","0"
"00860B","群益1-5Y投資級債      ","0","0","0","0","0.00","0","0","0","0","0"
"00862B","中信投資級公司債        ","0","0","0","0","0.00","0","0","0","0","0"
"00863B","中信全球電信債         ","0","0","0","0","0.00","0","0","0","0","0"
"00864B","中信美國公債0-1       ","1","1","0","0","0.00","0","0","0","1","0"
"00867B","新光A-BBB電信債      ","0","0","0","0","0.00","0","0","0","0","0"
"00870B","元大15年EM主權債      ","0","0","0","0","0.00","0","0","0","0","0"
"00877","復華中國5G          ","29","1,019","3","7","45.38","3","7","317,660","1,012","0"
"00884B","中信低碳新興債         ","0","0","0","0","0.00","0","0","0","0","0"
"00886","永豐美國科技          ","0","0","1","3","0.00","0","0","0","0","3"
"00887","永豐中國科技50大       ","62","1,049","2","6","17.83","2","6","106,980","1,043","0"
"00888","永豐台灣ESG         ","2","4","3","16","35.56","2","4","142,240","0","12"
"00890B","凱基ESG BBB債15+   ","0","0","0","0","0.00","0","0","0","0","0"
"00928","中信上櫃ESG 30      ","2","3","0","0","0.00","0","0","0","3","0"
"00931B","統一美債20年         ","2","2","1","2","13.49","2","2","26,980","0","0"
"00933B","國泰10Y+金融債       ","6","12","7","23","16.04","8","12","192,480","0","11"
"00937B","群益ESG投等債20+     ","51","147","6","28","14.91","11","28","417,480","119","0"
"00942B","台新美A公司債20+      ","0","0","0","0","0.00","0","0","0","0","0"
"00948B","中信優息投資級債        ","2","3","0","0","0.00","0","0","0","3","0"
"00950B","凱基A級公司債         ","0","0","1","30","0.00","0","0","0","0","30"
"00955","中信日本商社          ","8","11","1","2","14.36","2","2","28,720","9","0"
"00957B","兆豐US優選投等債       ","0","0","0","0","0.00","0","0","0","0","0"
"00958B","永豐ESG銀行債15+     ","0","0","0","0","0.00","0","0","0","0","0"
"00959B","大華投等美債15Y+      ","0","0","0","0","0.00","0","0","0","0","0"
"00966B","統一ESG投等債15+     ","0","0","0","0","0.00","0","0","0","0","0"
"00967B","元大優息美債          ","1","2","0","0","0.00","0","0","0","2","0"
"00968B","元大優息投等債         ","2","5","0","0","0.00","0","0","0","5","0"
"00969B","元大零息超長美債        ","0","0","0","0","0.00","0","0","0","0","0"
"00970B","新光BBB投等債20+     ","0","0","0","0","0.00","0","0","0","0","0"
"00980B","台新特選IG債10+      ","0","0","0","0","0.00","0","0","0","0","0"
"00980D","主動聯博投等入息        ","0","0","0","0","0.00","0","0","0","0","0"
"00980T","平衡凱基美國TOP       ","1","10","1","1","11.46","1","1","11,460","9","0"
"00981B","第一金優選非投債        ","13","71","6","53","9.23","10","53","489,190","18","0"
"00981D","主動中信非投等債        ","10","57","1","5","10.34","1","5","51,700","52","0"
"00982B","FT投資級債20+       ","1","1","0","0","0.00","0","0","0","1","0"
"00983B","大華優利美公債20       ","0","0","1","1","0.00","0","0","0","0","1"
"00984B","大華優利美A債15       ","5","15","0","0","0.00","0","0","0","15","0"
"00985D","主動貝萊德優投等        ","0","0","0","0","0.00","0","0","0","0","0"
"00986B","FT金融債10+        ","0","0","0","0","0.00","0","0","0","0","0"
"00986D","主動復華金融債息        ","1","20","0","0","0.00","0","0","0","20","0"
"00987B","野村10+澳洲公債       ","0","0","0","0","0.00","0","0","0","0","0"
"00988B","玉山嚴選非投債         ","0","0","0","0","0.00","0","0","0","0","0"
"00989B","台新美國非投等債        ","0","0","0","0","0.00","0","0","0","0","0"
