上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:115/06/17
"代號","名稱","收盤","漲跌","開盤","最高","最低","均價","成交股數","成交金額(元)","成交筆數","最後買價","最後買量(千股)","最後賣價","最後賣量(千股)","發行股數","次日參考價","次日漲停價","次日跌停價"
"006201","元大富櫃50","48.23","+0.01","47.67","48.29","47.67","48.04","137,244","6,593,545","167","48.13","1","48.23","3","20,446,000","48.23","53.05","43.41"
"00679B","元大美債20年","26.81","+0.14","26.86","26.87","26.81","26.82","57,171,083","1,533,534,520","16,325","26.81","1600","26.82","1352","6,801,692,000","26.81","9999.95","0.01"
"00687B","國泰20年美債","27.90","+0.16","27.89","27.94","27.88","27.91","14,644,565","408,679,294","2,522","27.90","909","27.91","462","5,133,134,927","27.90","9999.95","0.01"
"00687C","國泰20年美債+櫃U","9.42","+0.06","9.42","9.42","9.42","9.42","25,000","235,500","2","9.41","22","9.43","26","2,012,268","9.42","9999.95","0.01"
"00694B","富邦美債1-3","41.62","-0.02 ","41.65","41.65","41.61","41.63","106,168","4,420,046","31","41.61","62","41.62","5","38,076,000","41.62","9999.95","0.01"
"00695B","富邦美債7-10","35.16","+0.07","35.17","35.19","35.16","35.18","146,979","5,170,109","40","35.16","65","35.18","10","38,686,000","35.16","9999.95","0.01"
"00696B","富邦美債20年","29.23","+0.18","29.20","29.26","29.20","29.23","1,403,075","41,006,456","177","29.23","16","29.24","104","658,681,000","29.23","9999.95","0.01"
"00697B","元大美債7-10","35.71","+0.10","35.68","35.73","35.68","35.71","376,035","13,426,554","116","35.70","1","35.71","1","64,712,000","35.71","9999.95","0.01"
"00719B","元大美債1-3","30.94","-0.02 ","30.98","30.98","30.92","30.95","2,677,238","82,858,673","494","30.94","17","30.95","4","547,014,000","30.94","9999.95","0.01"
"00720B","元大投資級公司債","33.39","+0.05","33.38","33.42","33.38","33.40","3,375,975","112,759,550","939","33.39","312","33.40","204","4,103,609,000","33.39","9999.95","0.01"
"00722B","群益投資級電信債","36.23","+0.04","36.19","36.28","36.19","36.27","2,296,581","83,292,992","214","36.22","60","36.26","16","1,457,239,000","36.23","9999.95","0.01"
"00723B","群益投資級科技債","31.01","+0.04","31.06","31.06","31.01","31.01","135,000","4,186,730","11","30.99","56","31.01","1","1,520,083,000","31.01","9999.95","0.01"
"00724B","群益投資級金融債","34.02","+0.11","33.97","34.03","33.97","34.01","3,754,661","127,695,086","185","34.00","65","34.01","21","3,087,775,000","34.02","9999.95","0.01"
"00725B","國泰投資級公司債","35.45","+0.05","35.41","35.48","35.41","35.44","1,709,190","60,580,730","544","35.45","148","35.46","87","3,744,206,000","35.45","9999.95","0.01"
"00726B","國泰新興投等債","32.94","-0.02 ","33.00","33.00","32.94","32.95","624,173","20,568,663","61","32.94","1","32.96","18","1,194,489,000","32.94","9999.95","0.01"
"00727B","國泰優選非投等債","39.59","0.00 ","39.58","39.61","39.58","39.59","120,935","4,787,952","18","39.59","1","39.60","24","56,689,000","39.59","9999.95","0.01"
"00734B","台新JPM新興債","15.88","+0.01","15.88","15.88","15.88","15.88","9,000","142,920","3","15.88","11","15.89","1","25,979,000","15.88","9999.95","0.01"
"00740B","富邦全球投等債","38.74","+0.02","38.72","38.79","38.72","38.75","1,295,283","50,193,781","156","38.74","372","38.75","146","2,159,971,000","38.74","9999.95","0.01"
"00741B","富邦全球非投等債","37.12","-0.03 ","37.15","37.15","37.12","37.13","109,273","4,057,261","22","37.07","1","37.15","1","13,628,000","37.12","9999.95","0.01"
"00746B","富邦A級公司債","35.75","+0.09","35.77","35.77","35.70","35.73","492,335","17,590,337","76","35.74","137","35.75","3","2,535,464,000","35.75","9999.95","0.01"
"00749B","凱基新興債10+","31.98","+0.05","32.01","32.01","31.98","31.98","101,000","3,230,010","3","31.89","10","31.95","1","1,104,500,000","31.98","9999.95","0.01"
"00750B","凱基科技債10+","33.32","+0.06","33.32","33.32","33.32","33.32","100,000","3,332,000","2","33.25","10","33.31","1","148,000,000","33.32","9999.95","0.01"
"00751B","元大AAA至A公司債","32.08","+0.07","32.03","32.10","32.03","32.08","5,192,774","166,597,428","908","32.08","53","32.09","273","5,155,103,000","32.08","9999.95","0.01"
"00754B","群益AAA-AA公司債","33.57","+0.06","33.56","33.63","33.56","33.58","105,000","3,525,870","6","33.55","1","33.61","2","1,405,900,000","33.57","9999.95","0.01"
"00755B","群益投資級公用債","32.93","+0.10","32.92","32.95","32.92","32.93","105,496","3,473,769","95","32.90","4","32.93","1","280,230,000","32.93","9999.95","0.01"
"00756B","群益投等新興公債","31.80","+0.04","31.80","31.84","31.79","31.81","198,784","6,322,908","94","31.75","20","31.81","1","1,506,800,000","31.80","9999.95","0.01"
"00758B","復華能源債","51.80","+0.05","51.65","51.80","51.65","51.80","101,191","5,241,537","6","51.60","48","51.95","39","5,525,000","51.80","9999.95","0.01"
"00759B","復華製藥債","54.95","+0.10","54.95","54.95","54.95","54.95","100,001","5,495,055","3","54.75","56","54.90","1","47,525,000","54.95","9999.95","0.01"
"00760B","復華新興企業債","53.90","0.00 ","54.00","54.00","53.90","53.91","109,486","5,902,135","16","53.75","10","53.90","2","435,020,000","53.90","9999.95","0.01"
"00761B","國泰A級公司債","34.68","+0.09","34.72","34.72","34.64","34.68","85,148","2,952,987","80","34.67","101","34.68","2","2,732,589,000","34.68","9999.95","0.01"
"00764B","群益25年美債","27.81","+0.16","27.83","27.84","27.79","27.81","1,274,951","35,458,994","142","27.81","169","27.82","79","1,562,000,000","27.81","9999.95","0.01"
"00768B","復華20年美債","50.30","+0.30","50.30","50.40","50.30","50.31","481,523","24,225,919","74","50.30","253","50.35","111","763,600,000","50.30","9999.95","0.01"
"00772B","中信高評級公司債","33.76","+0.09","33.73","33.77","33.72","33.74","2,584,724","87,212,817","521","33.75","67","33.76","11","3,404,790,000","33.76","9999.95","0.01"
"00773B","中信優先金融債","35.98","+0.08","35.94","36.02","35.94","35.98","470,626","16,934,648","142","35.98","2","35.99","14","2,555,290,000","35.98","9999.95","0.01"
"00777B","凱基AAA至A公司債","32.72","+0.08","32.80","32.80","32.72","32.72","105,000","3,436,000","3","32.66","10","32.73","1","1,920,650,000","32.72","9999.95","0.01"
"00778B","凱基金融債20+","34.67","+0.13","34.67","34.67","34.67","34.67","100,000","3,467,000","2","34.61","10","34.76","8","1,505,650,000","34.67","9999.95","0.01"
"00779B","凱基美債25+","28.14","+0.16","28.13","28.14","28.13","28.14","307,000","8,638,940","9","28.11","50","28.13","3","1,297,150,000","28.14","9999.95","0.01"
"00780B","國泰A級金融債","37.20","+0.05","37.18","37.21","37.18","37.20","142,318","5,294,618","13","37.19","53","37.20","1","268,102,000","37.20","9999.95","0.01"
"00781B","國泰A級科技債","28.35","+0.05","28.37","28.37","28.35","28.35","75,062","2,128,040","14","28.35","65","28.37","1","8,336,000","28.35","9999.95","0.01"
"00782B","國泰A級公用債","30.68","+0.09","30.70","30.70","30.68","30.68","118,000","3,620,490","9","30.68","54","30.70","10","19,467,000","30.68","9999.95","0.01"
"00785B","富邦金融投等債","35.20","+0.09","35.22","35.23","35.19","35.20","53,212","1,873,026","6","35.16","25","35.19","1","1,082,966,000","35.20","9999.95","0.01"
"00786B","元大10年IG銀行債","32.87","+0.03","32.92","32.92","32.87","32.90","31,342","1,031,111","9","32.80","20","32.87","1","22,066,000","32.87","9999.95","0.01"
"00787B","元大10年IG醫療債","33.02","+0.04","33.00","33.10","33.00","33.03","21,000","693,720","9","33.01","4","33.02","11","12,806,000","33.02","9999.95","0.01"
"00788B","元大10年IG電能債","30.24","+0.06","30.22","30.31","30.21","30.22","25,000","755,420","7","30.23","1","30.25","2","25,706,000","30.24","9999.95","0.01"
"00789B","復華公司債A3","48.73","+0.13","48.60","48.74","48.60","48.73","109,092","5,316,046","7","48.69","20","48.72","1","455,600,000","48.73","9999.95","0.01"
"00791B","復華信用債1-5","56.70","0.00 ","56.75","56.75","56.70","56.71","102,000","5,784,110","7","56.60","15","56.65","1","279,600,000","56.70","9999.95","0.01"
"00792B","群益A級公司債","31.75","+0.12","31.73","31.75","31.73","31.73","121,843","3,866,359","60","31.72","20","31.74","1","2,277,115,000","31.75","9999.95","0.01"
"00793B","群益AAA-A醫療債","30.80","+0.14","30.79","30.81","30.79","30.80","101,000","3,111,290","5","30.78","10","30.81","20","3,526,000","30.80","9999.95","0.01"
"00795B","中信美國公債20年","26.98","+0.16","26.99","27.01","26.97","26.99","4,783,494","129,122,941","596","26.98","229","26.99","84","1,694,598,000","26.98","9999.95","0.01"
"00799B","國泰A級醫療債","29.81","+0.09","29.83","29.84","29.72","29.79","346,398","10,318,454","35","29.81","1","29.82","1","25,536,000","29.81","9999.95","0.01"
"00834B","第一金金融債10+","34.44","+0.09","34.44","34.44","34.44","34.44","100,000","3,444,000","2","34.41","10","34.43","1","23,198,000","34.44","9999.95","0.01"
"00836B","永豐10年A公司債","29.21","+0.03","29.21","29.21","29.21","29.20","1,403","40,974","6","29.21","44","29.22","1","611,541,000","29.21","9999.95","0.01"
"00840B","凱基IG精選15+","30.14","+0.07","30.14","30.14","30.14","30.14","100,000","3,014,000","2","30.07","10","30.13","1","59,431,000","30.14","9999.95","0.01"
"00841B","凱基AAA-AA公司債","29.12","+0.07","29.12","29.12","29.12","29.12","100,000","2,912,000","2","29.05","10","29.12","1","70,440,000","29.12","9999.95","0.01"
"00842B","台新美元銀行債","30.78","+0.06","30.74","30.80","30.71","30.75","151,114","4,646,236","24","30.75","1","30.78","19","16,267,000","30.78","9999.95","0.01"
"00844B","新光15年IG金融債","31.82","+0.12","31.84","31.84","31.82","31.82","90,000","2,864,000","4","31.79","20","31.80","1","230,175,000","31.82","9999.95","0.01"
"00845B","富邦新興投等債","33.24","+0.02","33.26","33.26","33.24","33.24","101,000","3,357,260","3","33.19","20","33.23","1","237,551,000","33.24","9999.95","0.01"
