115年05月26日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","1,694,039","3,658,000","-1,963,961","0","0","0","1,694,039","3,658,000","-1,963,961","0","0","0","0","0","0","16,428,007","1,506,000","14,922,007","16,428,007","1,506,000","14,922,007","12,958,046"
"00687B","國泰20年美債","19,962,037","210,100","19,751,937","0","0","0","19,962,037","210,100","19,751,937","0","0","0","0","0","0","6,225,832","7,709,000","-1,483,168","6,225,832","7,709,000","-1,483,168","18,268,769"
"00687C","國泰20年美債+櫃U","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26,000","26,000","0","26,000","26,000","0","0"
"00694B","富邦美債1-3","233,000","0","233,000","0","0","0","233,000","0","233,000","0","0","0","0","0","0","428,808","667,495","-238,687","428,808","667,495","-238,687","-5,687"
"00695B","富邦美債7-10","42,000","0","42,000","0","0","0","42,000","0","42,000","0","0","0","0","0","0","68,132","116,930","-48,798","68,132","116,930","-48,798","-6,798"
"00696B","富邦美債20年","3,081,000","405,000","2,676,000","0","0","0","3,081,000","405,000","2,676,000","0","0","0","0","0","0","319,815","2,751,414","-2,431,599","319,815","2,751,414","-2,431,599","244,401"
"00697B","元大美債7-10","282","0","282","0","0","0","282","0","282","0","0","0","0","0","0","123,381","143,739","-20,358","123,381","143,739","-20,358","-20,076"
"00719B","元大美債1-3","270,000","491,000","-221,000","0","0","0","270,000","491,000","-221,000","0","0","0","0","0","0","89,151","460,674","-371,523","89,151","460,674","-371,523","-592,523"
"00720B","元大投資級公司債","4,633,000","30,000","4,603,000","0","0","0","4,633,000","30,000","4,603,000","0","0","0","0","0","0","2,049,815","2,420,000","-370,185","2,049,815","2,420,000","-370,185","4,232,815"
"00722B","群益投資級電信債","717,000","80,000","637,000","0","0","0","717,000","80,000","637,000","0","0","0","0","5,000","-5,000","1,248,263","1,724,416","-476,153","1,248,263","1,729,416","-481,153","155,847"
"00723B","群益投資級科技債","19,000","1,000","18,000","0","0","0","19,000","1,000","18,000","0","0","0","0","0","0","100,000","104,000","-4,000","100,000","104,000","-4,000","14,000"
"00724B","群益投資級金融債","686,000","0","686,000","0","0","0","686,000","0","686,000","0","0","0","0","0","0","4,384,448","4,826,873","-442,425","4,384,448","4,826,873","-442,425","243,575"
"00725B","國泰投資級公司債","3,032,000","63,000","2,969,000","0","0","0","3,032,000","63,000","2,969,000","0","0","0","0","0","0","1,280,350","1,031,764","248,586","1,280,350","1,031,764","248,586","3,217,586"
"00726B","國泰新興投等債","134,000","0","134,000","0","0","0","134,000","0","134,000","0","0","0","0","0","0","50,690","155,995","-105,305","50,690","155,995","-105,305","28,695"
"00727B","國泰優選非投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106,669","108,711","-2,042","106,669","108,711","-2,042","-2,042"
"00734B","台新JPM新興債","45,000","2,000","43,000","0","0","0","45,000","2,000","43,000","0","0","0","0","0","0","0","43,157","-43,157","0","43,157","-43,157","-157"
"00740B","富邦全球投等債","1,415,000","0","1,415,000","0","0","0","1,415,000","0","1,415,000","0","0","0","0","5,000","-5,000","375,146","1,570,316","-1,195,170","375,146","1,575,316","-1,200,170","214,830"
"00741B","富邦全球非投等債","18,000","1,000","17,000","0","0","0","18,000","1,000","17,000","0","0","0","0","0","0","100,103","100,020","83","100,103","100,020","83","17,083"
"00746B","富邦A級公司債","389,000","0","389,000","0","0","0","389,000","0","389,000","0","0","0","0","0","0","63,237","436,000","-372,763","63,237","436,000","-372,763","16,237"
"00749B","凱基新興債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00751B","元大AAA至A公司債","3,450,000","32,000","3,418,000","0","0","0","3,450,000","32,000","3,418,000","0","0","0","0","0","0","1,679,428","526,000","1,153,428","1,679,428","526,000","1,153,428","4,571,428"
"00754B","群益AAA-AA公司債","4,000","0","4,000","0","0","0","4,000","0","4,000","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","4,000"
"00755B","群益投資級公用債","4,000","3,000","1,000","0","0","0","4,000","3,000","1,000","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","1,000"
"00756B","群益投等新興公債","88,000","0","88,000","0","0","0","88,000","0","88,000","0","0","0","0","0","0","107,001","121,093","-14,092","107,001","121,093","-14,092","73,908"
"00758B","復華能源債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","101,999","101,018","981","101,999","101,018","981","-19"
"00759B","復華製藥債","0","12,000","-12,000","0","0","0","0","12,000","-12,000","0","0","0","0","0","0","113,000","100,000","13,000","113,000","100,000","13,000","1,000"
"00760B","復華新興企業債","25,000","1,000","24,000","0","0","0","25,000","1,000","24,000","0","0","0","0","0","0","116,035","100,000","16,035","116,035","100,000","16,035","40,035"
"00761B","國泰A級公司債","218,000","0","218,000","0","0","0","218,000","0","218,000","0","0","0","0","0","0","112,210","168,000","-55,790","112,210","168,000","-55,790","162,210"
"00764B","群益25年美債","2,943,000","2,000","2,941,000","0","0","0","2,943,000","2,000","2,941,000","0","0","0","0","0","0","6,793,230","9,183,112","-2,389,882","6,793,230","9,183,112","-2,389,882","551,118"
"00768B","復華20年美債","497,000","8,000","489,000","0","0","0","497,000","8,000","489,000","0","0","0","0","0","0","184,470","507,435","-322,965","184,470","507,435","-322,965","166,035"
"00772B","中信高評級公司債","3,359,000","51,000","3,308,000","0","0","0","3,359,000","51,000","3,308,000","0","0","0","0","0","0","368,192","1,651,000","-1,282,808","368,192","1,651,000","-1,282,808","2,025,192"
"00773B","中信優先金融債","886,000","0","886,000","0","0","0","886,000","0","886,000","0","0","0","0","0","0","27,220","388,143","-360,923","27,220","388,143","-360,923","525,077"
