115年06月18日 三大法人日交易資訊(含普通股、鉅額、零股)依股票代碼排序  不含綜合帳戶之投信買賣成交量
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","25,216,420","43,222","25,173,198","0","0","0","25,216,420","43,222","25,173,198","150,000","0","150,000","30,000","0","30,000","11,418,589","6,187,000","5,231,589","11,448,589","6,187,000","5,261,589","30,584,787"
"00687B","國泰20年美債","16,724,000","282,000","16,442,000","0","0","0","16,724,000","282,000","16,442,000","150,000","0","150,000","0","0","0","8,392,558","1,846,000","6,546,558","8,392,558","1,846,000","6,546,558","23,138,558"
"00687C","國泰20年美債+櫃U","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27,000","25,000","2,000","27,000","25,000","2,000","2,000"
"00694B","富邦美債1-3","371,000","10,000","361,000","0","0","0","371,000","10,000","361,000","0","0","0","0","0","0","50,000","373,905","-323,905","50,000","373,905","-323,905","37,095"
"00695B","富邦美債7-10","283,000","0","283,000","0","0","0","283,000","0","283,000","0","0","0","0","0","0","49,000","323,473","-274,473","49,000","323,473","-274,473","8,527"
"00696B","富邦美債20年","2,444,000","0","2,444,000","0","0","0","2,444,000","0","2,444,000","0","0","0","0","0","0","902,279","2,851,000","-1,948,721","902,279","2,851,000","-1,948,721","495,279"
"00697B","元大美債7-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67,000","259,064","-192,064","67,000","259,064","-192,064","-192,064"
"00719B","元大美債1-3","738,000","36,000","702,000","0","0","0","738,000","36,000","702,000","0","0","0","0","0","0","22,000","2,049,399","-2,027,399","22,000","2,049,399","-2,027,399","-1,325,399"
"00720B","元大投資級公司債","1,297,000","41,000","1,256,000","0","0","0","1,297,000","41,000","1,256,000","0","0","0","0","0","0","4,399,800","113,000","4,286,800","4,399,800","113,000","4,286,800","5,542,800"
"00722B","群益投資級電信債","544,000","10,000","534,000","0","0","0","544,000","10,000","534,000","0","0","0","0","0","0","3,748,609","3,736,132","12,477","3,748,609","3,736,132","12,477","546,477"
"00723B","群益投資級科技債","101,000","0","101,000","0","0","0","101,000","0","101,000","0","0","0","0","0","0","102,000","190,767","-88,767","102,000","190,767","-88,767","12,233"
"00724B","群益投資級金融債","280,000","9,000","271,000","0","0","0","280,000","9,000","271,000","0","0","0","0","0","0","2,348,069","2,391,353","-43,284","2,348,069","2,391,353","-43,284","227,716"
"00725B","國泰投資級公司債","1,865,000","131,000","1,734,000","0","0","0","1,865,000","131,000","1,734,000","0","0","0","0","0","0","2,445,813","326,087","2,119,726","2,445,813","326,087","2,119,726","3,853,726"
"00726B","國泰新興投等債","70,000","0","70,000","0","0","0","70,000","0","70,000","0","0","0","0","0","0","170,445","100,349","70,096","170,445","100,349","70,096","140,096"
"00727B","國泰優選非投等債","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","132,388","500,924","-368,536","132,388","500,924","-368,536","-370,536"
"00734B","台新JPM新興債","25,000","0","25,000","0","0","0","25,000","0","25,000","0","0","0","0","0","0","20","20,004","-19,984","20","20,004","-19,984","5,016"
"00740B","富邦全球投等債","1,742,000","0","1,742,000","0","0","0","1,742,000","0","1,742,000","0","0","0","0","0","0","2,041,377","3,427,217","-1,385,840","2,041,377","3,427,217","-1,385,840","356,160"
"00741B","富邦全球非投等債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","100,000","100,063","-63","100,000","100,063","-63","-1,063"
"00746B","富邦A級公司債","333,000","0","333,000","0","0","0","333,000","0","333,000","0","0","0","0","0","0","854,040","1,179,000","-324,960","854,040","1,179,000","-324,960","8,040"
"00749B","凱基新興債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
