115年06月30日 三大法人日交易資訊(含普通股、零股)依股票代碼排序  不含鉅額交易、綜合帳戶之投信買賣成交量
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","492,000","22,447,000","-21,955,000","0","0","0","492,000","22,447,000","-21,955,000","150,000","0","150,000","0","0","0","33,581,045","500,000","33,081,045","33,581,045","500,000","33,081,045","11,276,045"
"00687B","國泰20年美債","355,000","2,832,000","-2,477,000","0","0","0","355,000","2,832,000","-2,477,000","150,000","0","150,000","0","0","0","25,951,320","878,000","25,073,320","25,951,320","878,000","25,073,320","22,746,320"
"00687C","國泰20年美債+櫃U","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35,300","35,300","0","35,300","35,300","0","0"
"00694B","富邦美債1-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26,246","48,539","-22,293","26,246","48,539","-22,293","-22,293"
"00695B","富邦美債7-10","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","71,549","62,500","9,049","71,549","62,500","9,049","10,049"
"00696B","富邦美債20年","639,000","0","639,000","0","0","0","639,000","0","639,000","0","0","0","0","0","0","1,663,469","2,046,069","-382,600","1,663,469","2,046,069","-382,600","256,400"
"00697B","元大美債7-10","8,000","0","8,000","0","0","0","8,000","0","8,000","0","0","0","0","0","0","53,871","75,401","-21,530","53,871","75,401","-21,530","-13,530"
"00719B","元大美債1-3","290,000","78,000","212,000","0","0","0","290,000","78,000","212,000","0","0","0","0","0","0","935,000","116,715","818,285","935,000","116,715","818,285","1,030,285"
"00720B","元大投資級公司債","453,000","4,000","449,000","0","0","0","453,000","4,000","449,000","0","0","0","0","0","0","5,296,107","140,000","5,156,107","5,296,107","140,000","5,156,107","5,605,107"
"00722B","群益投資級電信債","11,000","240,000","-229,000","0","0","0","11,000","240,000","-229,000","0","0","0","13,000","0","13,000","4,188,725","3,656,000","532,725","4,201,725","3,656,000","545,725","316,725"
"00723B","群益投資級科技債","0","105,000","-105,000","0","0","0","0","105,000","-105,000","0","0","0","0","0","0","217,000","100,000","117,000","217,000","100,000","117,000","12,000"
"00724B","群益投資級金融債","175,000","341,000","-166,000","0","0","0","175,000","341,000","-166,000","0","0","0","0","0","0","4,012,269","3,646,218","366,051","4,012,269","3,646,218","366,051","200,051"
"00725B","國泰投資級公司債","840,000","128,000","712,000","0","0","0","840,000","128,000","712,000","0","0","0","0","0","0","2,494,971","402,288","2,092,683","2,494,971","402,288","2,092,683","2,804,683"
"00726B","國泰新興投等債","7,000","0","7,000","0","0","0","7,000","0","7,000","0","0","0","0","0","0","101,000","125,901","-24,901","101,000","125,901","-24,901","-17,901"
"00727B","國泰優選非投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106,171","101,397","4,774","106,171","101,397","4,774","4,774"
"00734B","台新JPM新興債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150,000","151,000","-1,000","150,000","151,000","-1,000","-1,000"
"00740B","富邦全球投等債","1,112,000","0","1,112,000","0","0","0","1,112,000","0","1,112,000","0","0","0","15,000","0","15,000","718,927","1,668,100","-949,173","733,927","1,668,100","-934,173","177,827"
"00741B","富邦全球非投等債","21,000","0","21,000","0","0","0","21,000","0","21,000","0","0","0","0","0","0","111,256","100,077","11,179","111,256","100,077","11,179","32,179"
"00746B","富邦A級公司債","965,000","0","965,000","0","0","0","965,000","0","965,000","0","0","0","0","0","0","176,584","1,127,000","-950,416","176,584","1,127,000","-950,416","14,584"
"00749B","凱基新興債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00751B","元大AAA至A公司債","360,000","335,000","25,000","0","0","0","360,000","335,000","25,000","0","0","0","0","0","0","3,624,533","0","3,624,533","3,624,533","0","3,624,533","3,649,533"
"00754B","群益AAA-AA公司債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","-1,000"
"00755B","群益投資級公用債","4,000","18,000","-14,000","0","0","0","4,000","18,000","-14,000","0","0","0","0","0","0","100,079","100,000","79","100,079","100,000","79","-13,921"
"00756B","群益投等新興公債","117,000","0","117,000","0","0","0","117,000","0","117,000","0","0","0","0","0","0","101,572","172,176","-70,604","101,572","172,176","-70,604","46,396"
"00758B","復華能源債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102,005","100,000","2,005","102,005","100,000","2,005","2,005"
"00759B","復華製藥債","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","100,000","100,004","-4","100,000","100,004","-4","996"
"00760B","復華新興企業債","2,000","1,000","1,000","0","0","0","2,000","1,000","1,000","0","0","0","0","0","0","100,300","100,000","300","100,300","100,000","300","1,300"
"00761B","國泰A級公司債","77,000","0","77,000","0","0","0","77,000","0","77,000","0","0","0","0","0","0","216,757","120,600","96,157","216,757","120,600","96,157","173,157"
"00764B","群益25年美債","721,000","49,000","672,000","0","0","0","721,000","49,000","672,000","0","0","0","0","0","0","12,717,077","10,461,277","2,255,800","12,717,077","10,461,277","2,255,800","2,927,800"
"00768B","復華20年美債","1,014,000","0","1,014,000","0","0","0","1,014,000","0","1,014,000","0","0","0","0","0","0","523,182","1,487,050","-963,868","523,182","1,487,050","-963,868","50,132"
"00772B","中信高評級公司債","1,166,000","17,000","1,149,000","0","0","0","1,166,000","17,000","1,149,000","0","0","0","0","0","0","802,778","234,000","568,778","802,778","234,000","568,778","1,717,778"
"00773B","中信優先金融債","101,000","0","101,000","0","0","0","101,000","0","101,000","0","0","0","0","0","0","110,492","61,131","49,361","110,492","61,131","49,361","150,361"
"00777B","凱基AAA至A公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00778B","凱基金融債20+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00779B","凱基美債25+","16,000","1,000","15,000","0","0","0","16,000","1,000","15,000","0","0","0","0","0","0","300,000","300,000","0","300,000","300,000","0","15,000"
"00780B","國泰A級金融債","28,000","0","28,000","0","0","0","28,000","0","28,000","0","0","0","0","0","0","100,053","100,314","-261","100,053","100,314","-261","27,739"
"00781B","國泰A級科技債","0","550","-550","0","0","0","0","550","-550","0","0","0","0","0","0","190,550","100,000","90,550","190,550","100,000","90,550","90,000"
"00782B","國泰A級公用債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,300","453,000","-352,700","100,300","453,000","-352,700","-352,700"
"00785B","富邦金融投等債","0","41,000","-41,000","0","0","0","0","41,000","-41,000","0","0","0","0","0","0","90,000","50,000","40,000","90,000","50,000","40,000","-1,000"
"00786B","元大10年IG銀行債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6,021","0","6,021","6,021","0","6,021","6,021"
"00787B","元大10年IG醫療債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,350","0","10,350","10,350","0","10,350","10,350"
"00788B","元大10年IG電能債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30,001","0","30,001","30,001","0","30,001","30,001"
"00789B","復華公司債A3","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","120,678","100,000","20,678","120,678","100,000","20,678","21,678"
"00791B","復華信用債1-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110,100","110,000","100","110,100","110,000","100","100"
"00792B","群益A級公司債","0","20,000","-20,000","0","0","0","0","20,000","-20,000","0","0","0","0","0","0","181,000","102,009","78,991","181,000","102,009","78,991","58,991"
"00793B","群益AAA-A醫療債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4,000","108","3,892","4,000","108","3,892","3,892"
"00795B","中信美國公債20年","3,850,000","0","3,850,000","0","0","0","3,850,000","0","3,850,000","50,000","0","50,000","15,000","0","15,000","5,782,286","2,186,567","3,595,719","5,797,286","2,186,567","3,610,719","7,510,719"
"00799B","國泰A級醫療債","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","171,000","121,240","49,760","171,000","121,240","49,760","50,760"
"00834B","第一金金融債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00836B","永豐10年A公司債","17,000","20,000","-3,000","0","0","0","17,000","20,000","-3,000","0","0","0","0","0","0","30,000","0","30,000","30,000","0","30,000","27,000"
"00840B","凱基IG精選15+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00841B","凱基AAA-AA公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00842B","台新美元銀行債","0","29,000","-29,000","0","0","0","0","29,000","-29,000","0","0","0","0","0","0","419,000","401,000","18,000","419,000","401,000","18,000","-11,000"
"00844B","新光15年IG金融債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","80,000","80,000","0","80,000","80,000","0","-1,000"
"00845B","富邦新興投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101,000","101,000","0","101,000","101,000","0","0"
"00846B","富邦歐洲銀行債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101,048","113,000","-11,952","101,048","113,000","-11,952","-11,952"
"00847B","中信美國市政債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133,000","125,000","8,000","133,000","125,000","8,000","8,000"
"00848B","中信新興亞洲債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131,000","130,000","1,000","131,000","130,000","1,000","1,000"
"00849B","中信EM主權債0-5","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","133,204","130,257","2,947","133,204","130,257","2,947","947"
"00853B","統一美債10年Aa-A","20,000","0","20,000","0","0","0","20,000","0","20,000","0","0","0","0","0","0","505,331","500,168","5,163","505,331","500,168","5,163","25,163"
"00856B","永豐1-3年美公債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131,557","10,000","121,557","131,557","10,000","121,557","121,557"
"00857B","永豐20年美公債","1,640,000","0","1,640,000","0","0","0","1,640,000","0","1,640,000","0","0","0","0","0","0","1,252,947","466,000","786,947","1,252,947","466,000","786,947","2,426,947"
"00858","永豐美國500大","12,000","11,000","1,000","0","0","0","12,000","11,000","1,000","0","0","0","0","0","0","275,444","32,566","242,878","275,444","32,566","242,878","243,878"
"00859B","群益0-1年美債","35,000","4,000","31,000","0","0","0","35,000","4,000","31,000","0","0","0","0","0","0","2,067,000","2,513,570","-446,570","2,067,000","2,513,570","-446,570","-415,570"
"00860B","群益1-5Y投資級債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00862B","中信投資級公司債","61,000","0","61,000","0","0","0","61,000","0","61,000","0","0","0","0","0","0","169,056","130,000","39,056","169,056","130,000","39,056","100,056"
"00863B","中信全球電信債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180,000","180,000","0","180,000","180,000","0","0"
