上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:115/06/15
"代號","名稱","收盤","漲跌","開盤","最高","最低","均價","成交股數","成交金額(元)","成交筆數","最後買價","最後買量(千股)","最後賣價","最後賣量(千股)","發行股數","次日參考價","次日漲停價","次日跌停價"
"006201","元大富櫃50","47.75","+0.65","48.13","48.48","47.75","48.10","173,601","8,350,092","247","47.74","1","48.00","6","20,446,000","47.75","52.50","42.98"
"00679B","元大美債20年","26.81","+0.05","26.84","26.88","26.80","26.83","22,042,105","591,430,236","4,148","26.80","553","26.81","266","6,832,692,000","26.81","9999.95","0.01"
"00687B","國泰20年美債","28.15","+0.05","28.15","28.19","28.12","28.16","18,357,982","516,909,040","2,658","28.14","26","28.15","1642","5,185,634,927","27.89","9999.95","0.01"
"00687C","國泰20年美債+櫃U","9.42","+0.04","9.42","9.42","9.42","9.42","25,000","235,500","2","9.41","20","9.43","24","2,012,268","9.42","9999.95","0.01"
"00694B","富邦美債1-3","41.57","-0.13 ","41.65","41.65","41.55","41.57","78,689","3,271,205","40","41.56","9","41.57","23","38,076,000","41.57","9999.95","0.01"
"00695B","富邦美債7-10","35.11","-0.06 ","35.13","35.13","35.11","35.12","136,714","4,801,135","31","35.11","1","35.12","2","38,686,000","35.11","9999.95","0.01"
"00696B","富邦美債20年","29.22","+0.05","29.21","29.28","29.21","29.22","900,109","26,305,666","186","29.21","295","29.22","304","659,681,000","29.22","9999.95","0.01"
"00697B","元大美債7-10","35.63","-0.04 ","35.67","35.67","35.55","35.64","557,610","19,872,152","224","35.63","204","35.64","83","65,212,000","35.63","9999.95","0.01"
"00719B","元大美債1-3","30.92","-0.06 ","30.97","30.97","30.90","30.91","2,668,755","82,495,974","677","30.92","38","30.93","15","545,514,000","30.92","9999.95","0.01"
"00720B","元大投資級公司債","33.51","+0.10","33.49","33.53","33.48","33.51","10,126,233","339,318,071","1,817","33.51","45","33.52","153","4,113,609,000","33.51","9999.95","0.01"
"00722B","群益投資級電信債","36.42","+0.12","36.40","36.44","36.39","36.41","3,326,053","121,104,323","271","36.42","5","36.43","93","1,457,239,000","36.42","9999.95","0.01"
"00723B","群益投資級科技債","31.17","+0.06","31.17","31.20","31.14","31.17","142,009","4,426,620","10","31.13","72","31.17","1","1,520,083,000","31.17","9999.95","0.01"
"00724B","群益投資級金融債","34.03","+0.07","33.94","34.08","33.94","34.03","3,710,599","126,272,749","200","34.01","2","34.03","37","3,087,775,000","34.03","9999.95","0.01"
"00725B","國泰投資級公司債","35.59","+0.11","35.52","35.62","35.52","35.58","4,392,213","156,289,256","863","35.58","23","35.59","183","3,755,706,000","35.59","9999.95","0.01"
"00726B","國泰新興投等債","32.94","+0.06","32.91","32.94","32.91","32.93","282,988","9,318,307","111","32.93","1","32.95","3","1,194,489,000","32.94","9999.95","0.01"
"00727B","國泰優選非投等債","39.57","-0.05 ","39.51","39.60","39.50","39.57","112,303","4,443,650","14","39.51","3","39.55","1","56,689,000","39.57","9999.95","0.01"
"00734B","台新JPM新興債","15.86","+0.02","15.85","15.86","15.85","15.86","35,000","555,020","7","15.84","20","15.86","1","25,979,000","15.86","9999.95","0.01"
