代碼,商品,買進,賣出,成交,漲跌,漲幅%,總量,內外盤比%,外資買賣超,投信買賣超,自營商買賣超,法人買賣超,控盤者買進,控盤者賣出,控盤者買賣超,控盤者買賣超比,控盤者主動買賣超,控盤者拉高買盤,控盤者作多買盤,控盤者偏空賣盤,控盤者殺低賣盤,控盤者主動買力,控盤者主動賣力,實戶買進,實戶賣出,實戶買賣超,散戶買進,散戶賣出,散戶買賣超,PE(市盈率),營收,營收期增率%,營收年增率%,營收(12),盈餘,毛利率%,ROE%,殖利率%,融資使用率%,融資餘額,股本
1101,台泥,23.85,23.9,23.85,-0.55,-2.25,51615,45.07,-28957,230,-1262,-29989,39965,44529,-4564,-0.09,-42379,0,2150,1687,42842,0.04,0.86,2505,2292,213,9390,5039,4351,--,12213.2,-1.61,-3.69,148481.34,0.1,18.72,0.4,3.35,1.81,34031,752.32
1102,亞泥,33.75,33.8,33.75,-0.65,-1.89,17773,39.51,-8409,90,46,-8273,14114,16428,-2314,-0.13,-3410,0,13018,14644,1784,0.73,0.92,1060,483,577,2636,899,1737,11.33,5694.46,6.45,-9.27,68693.16,0.56,12.96,0.89,6.81,0.28,2459,354.66
1103,嘉泥,13.2,13.25,13.2,-0.4,-2.94,407,48.88,86,0,-10,76,0,100,-100,-0.24,-100,0,0,0,100,0,0.24,50,46,4,369,273,96,20,207.62,-14.46,-23.55,2887.3,0.08,21.15,0.27,4.17,2.05,4041,83.29
1104,環泥,28.9,28.95,28.9,-0.5,-1.7,1749,33.33,-528,0,55,-473,706,661,45,0.03,45,0,706,661,0,0.4,0.37,269,409,-140,788,693,95,11.29,635.96,9.5,-8.98,7689.7,0.41,27.95,1.14,6.4,0.85,1453,68.67
1108,幸福,13.6,13.65,13.6,-0.2,-1.45,352,41.4,-43,0,4,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,355,0,6.73,335.1,3.79,-13.76,4077.49,0.17,16.14,1.23,7.35,0.59,600,40.47
1109,信大,14.55,14.6,14.6,-0.25,-1.68,141,34.53,-33,0,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,151,0,18.48,340.19,8.34,-21.62,4203.15,0.01,6.23,-0.15,6.16,0.35,298,34.12
1110,東泥,15.3,15.4,15.4,-0.6,-3.75,399,72.51,-83,0,0,-83,118,100,18,0.04,-100,0,0,0,100,0,0.25,0,39,-39,282,261,21,48.13,237.55,5.8,-10.21,2666.66,0.05,14.33,0.26,1.95,1.88,2689,57.2
1201,味全,12.3,12.35,12.3,-0.15,-1.2,444,47.79,102,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,454,0,31.54,1793.56,6.46,-3.42,21564.35,0.2,27.41,1.32,1.71,1.22,1549,50.61
1203,味王,42.15,42.45,42.35,-0.5,-1.17,9,77.78,-5,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,24.91,437.7,-5.83,-12.21,5340.21,0.49,34.47,2.41,2.36,0,2,24
1210,大成,54,54.1,54,-0.4,-0.74,9405,66.37,-3955,4974,21,1040,7739,7069,670,0.07,1589,2568,4143,3906,1216,0.71,0.54,571,874,-303,1135,1502,-367,13.67,9098.46,-1.21,4.32,103978.56,0.94,14.07,2.77,5.56,0.46,1018,89.48
